Pilote,image,team,start,Australia,China,Japan,Bahrain,Saudi Arabia,United States,Italy - Imola,Monaco,Spain,Canada,Austria,United Kingdom,Belgium,Hungary,Netherlands,Italy - Monza,Azerbaijan,Singapore
Oscar Piastri,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/O/OSCPIA01_Oscar_Piastri/oscpia01.png.transform/1col/image.png,McLaren,0,2.0,34.0,49.0,74.0,99.0,131.0,146.0,161.0,186.0,198.0,216.0,234.0,266.0,284.0,309.0,324.0,324.0,336.0
Lando Norris,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png,McLaren,0,25.0,44.0,62.0,77.0,89.0,115.0,133.0,158.0,176.0,176.0,201.0,226.0,250.0,275.0,275.0,293.0,299.0,314.0
Max Verstappen,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png,Red Bull Racing,0,18.0,36.0,61.0,69.0,87.0,99.0,124.0,136.0,137.0,155.0,155.0,165.0,185.0,187.0,205.0,230.0,255.0,273.0
George Russell,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,Mercedes,0,15.0,35.0,45.0,63.0,73.0,93.0,99.0,99.0,111.0,136.0,146.0,147.0,157.0,172.0,184.0,194.0,212.0,237.0
